词典条目: 7343
源表已收: 350（跳过 146）
新候选（4字+）: 194
新候选（3字）: 0

============================================================
=== 4字及以上新候选（194 条）===
============================================================
[031] 时不可失  | ctx: ... 於是吴公子光曰：  > “此时不可失也。”  [23.4] 告专诸...
[112] 旷日持久  | ctx: ...入越，越人遁逃。  [77] 旷日持久，粮食绝乏，越人击之，秦兵大败...
[043] 昆山之玉  | ctx: ...百里而通於燕，代马胡犬不东下，昆山之玉不出，此三宝者亦非王有已。王久...
[065] 明法审令  | ctx: ...] 楚悼王素闻起贤，至则相楚。明法审令，捐不急之官，废公族疏远者，以...
[043] 昧死以闻  | ctx: ...爱之，原得补黑衣之缺以卫王宫，昧死以闻。” 太后曰：“敬诺。年几何矣...
[087] 本同末异  | ctx: ...夫诳惑，变易神器。 国丧身诛，本同末异。 ::: ...
[055] 杜门不出  | ctx: ...关。留侯性多病，即道引不食穀，杜门不出岁馀。  ### 四皓保储  ...
[024] 桑间濮上  | ctx: ...卫之音，乱世之音也，比於慢矣。桑间濮上之音，亡国之音也，其政散，其民...
[047] 河不出图  | ctx: ...曰：“麟也。” 取之。 曰：“河不出图，雒不出书，吾已矣夫！” 颜渊...
[118] 流血千里  | ctx: ...先吴军起时，彗星出长数尺，然尚流血千里。今彗星长竟天，天下兵当大起。...
[120] 深文巧诋  | ctx: ...诈饰智以阿人主取容，而刀笔吏专深文巧诋，陷人於罪，使不得反其真，以胜...
[051] 深沟高垒  | ctx: ...渡河，得张耳、韩信军，军脩武，深沟高垒，使刘贾将二万人，骑数百，渡白...
[086] 漆身吞炭  | ctx: ...也。” 卒醳去之。  ### 漆身吞炭  [12] 居顷之，豫让又漆...
[030] 火耕水耨  | ctx: ...二千里。天子怜之，诏曰：“江南火耕水耨，令饥民得流就食江淮间，欲留，...
[061] 烈士徇名  | ctx: ...称焉。” 贾子曰：“贪夫徇财，烈士徇名，夸者死权，众庶冯生。” “同...
[079] 父慈子孝  | ctx: ...之盛福也；君明臣直，国之福也；父慈子孝，夫信妻贞，家之福也。故比干忠...
[084] 爽然自失  | ctx: ...。读服乌赋，同死生，轻去就，又爽然自失矣。  ## 太史公赞  ::...
[004] 牝鸡之晨，惟家之索  | ctx: ... 王曰：“古人有言‘牝鸡无晨。牝鸡之晨，惟家之索’。今殷王纣维妇人言是用，自弃...
[040] 犹豫不决  | ctx: ... 楚王业已欲和於秦，见齐王书，犹豫不决，下其议群臣。群臣或言和秦，或...
[048] 王侯将相  | ctx: ...且壮士不死即已，死即举大名耳，王侯将相宁有种乎！” 徒属皆曰：“敬受...
[063] 王公大人  | ctx: ...免也。其言洸洋自恣以適己，故自王公大人不能器之。  [10] 楚威王...
[117] 琴挑文君  | ctx: ...数岁，乃著子虚之赋。  ## 琴挑文君  [1] 会梁孝王卒，相如归...
[092] 痛入骨髓  | ctx: ...、欣、翳得脱，秦父兄怨此三人，痛入骨髓。今楚彊以威王此三人，秦民莫爱...
[083] 白头如新  | ctx: ...怜焉。  [18] 谚曰：“有白头如新，倾盖如故。” 何则？知与不知...
[070] 百世之利  | ctx: ...为大王计者，皆为一时之说，不顾百世之利。从人说大王者，必曰‘齐西有彊...
[129] 目挑心招  | ctx: ...形容，揳鸣琴，揄长袂，蹑利屣，目挑心招，出不远千里，不择老少者，奔富...
[007] 目眦尽裂  | ctx: ...西乡立，瞋目视项王，头发上指，目眦尽裂。  [75] [75.1] ...
[039] 矢石之难  | ctx: ...辅我以行，卒以成立，此受次赏。矢石之难，汗马之劳，此复受次赏。若以力...
[021] 矫枉过正  | ctx: ...::: 赞 [3] 汉世之初，矫枉过正。 欲大本枝，先封同姓。 建元...
[124] 短小精悍  | ctx: ...解父以任侠，孝文时诛死。解为人短小精悍，不饮酒。少时阴贼，慨不快意，...
[061] 砥行立名  | ctx: ...堙灭而不称，悲夫！闾巷之人，欲砥行立名者，非附青云之士，恶能施于後世...
[077] 礼贤下士  | ctx: ...] 魏公子列传  ## 信陵君礼贤下士  [1] 魏公子无忌者，魏昭...
[084] 祸兮福所倚，福兮祸所伏  | ctx: ...嬗。 沕穆无穷兮，胡可胜言！ 祸兮福所倚，福兮祸所伏； 忧喜聚门兮，吉凶同域。 彼...
[071] 禽困覆车  | ctx: ...韩。 韩公仲使苏代谓向寿曰：“禽困覆车。公破韩，辱公仲，公仲收国复事...
[128] 秋收冬藏  | ctx: ...异节，其时使然。故令春生夏长，秋收冬藏。或为仁义，或为暴彊。暴彊有乡...
[024] 移风易俗  | ctx: ...行而伦清，耳目聪明，血气和平，移风易俗，天下皆宁。故曰“乐者乐也”。...
[107] 稠人广众  | ctx: ...己之左，愈贫贱，尤益敬，与钧。稠人广众，荐宠下辈。士亦以此多之。  ...
[055] 立锥之地  | ctx: ...侵伐诸侯社稷，灭六国之後，使无立锥之地。陛下诚能复立六国後世，毕已受...
[079] 终其天年  | ctx: ...理万物，使各得其所；性命寿长，终其天年而不夭伤；天下继其统，守其业，...
[006] 经纬天下  | ctx: ...周定四极。** **普施明法，经纬天下，永为仪则。** **大矣哉！...
[070] 群轻折轴  | ctx: ...[19] “臣闻之，积羽沈舟，群轻折轴，众口铄金，积毁销骨，故原大王...
[055] 羽翼已成  | ctx: ...者曰：“我欲易之，彼四人辅之，羽翼已成，难动矣。吕后真而主矣。” 戚...
[129] 老死不相往来  | ctx: ...食，美其服，安其俗，乐其业，至老死不相往来。” 必用此为务，輓近世涂民耳...
[129] 舞文弄法  | ctx: ...之人，焦神极能，为重糈也。吏士舞文弄法，刻章伪书，不避刀锯之诛者，没...
[063] 良贾深藏  | ctx: ...，不得其时则蓬累而行。吾闻之，良贾深藏若虚，君子盛德容貌若愚。去子之...
[049] 色衰爱弛  | ctx: ...姁为高祖正后，男为太子。及晚节色衰爱弛，而戚夫人有宠，其子如意几代太...
[067] 莞尔而笑  | ctx: ...城宰。孔子过，闻弦歌之声。孔子莞尔而笑曰：“割鸡焉用牛刀？” 子游曰...
[036] 莫之与京  | ctx: ...五世其昌，并于正卿。八世之後，莫之与京。”  [13] 三十七年，齐...
[063] 著书立说  | ctx: ...卿，斯自以为不如非。  ## 著书立说  [14] 非见韩之削弱，数...
[110] 薄物细故  | ctx: ...朕与单于为之父母。朕追念前事，薄物细故，谋臣计失，皆不足以离兄弟之驩...
[061] 行不由径  | ctx: ...绝。或择地而蹈之，时然後出言，行不由径，非公正不发愤，而遇祸灾者，不...
[124] 衣不完采  | ctx: ...人不赡，先从贫贱始。家无馀财，衣不完采，食不重味，乘不过軥牛。专趋人...
[007] 衣绣夜行  | ctx: ...曰：  > “富贵不归故乡，如衣绣夜行，谁知之者！”  [89.2]...
[030] 裒多益寡  | ctx: ...名刀布，其文龙马。 增算告缗，裒多益寡。 弘羊心计，卜式长者。 都内...
[041] 覆军杀将  | ctx: ...蔡不安。故二晋之事越也，不至於覆军杀将，马汗之力不效。所重於得晋者何...
[047] 覆巢毁卵  | ctx: ...至郊，竭泽涸渔则蛟龙不合阴阳，覆巢毁卵则凤皇不翔。何则？君子讳伤其类...
[079] 视死如归  | ctx: ...，忠之节也。是故君子以义死难，视死如归；生而辱不如死而荣。士固有杀身...
[092] 解衣衣我，推食食我  | ctx: ...汉王授我上将军印，予我数万众，解衣衣我，推食食我，言听计用，故吾得以至於此。夫...
[054] 言人人殊  | ctx: ...以安集百姓，如齐故诸儒以百数，言人人殊，参未知所定。闻胶西有盖公，善...
[039] 言犹在耳  | ctx: ...其赐；不材，吾怨子’。今君卒，言犹在耳，而弃之，若何？” 赵盾与诸大...
[117] 计不旋踵  | ctx: ...後，触白刃，冒流矢，义不反顾，计不旋踵，人怀怒心，如报私雠。彼岂乐死...
[091] 计将安出  | ctx: ...而卧，汉无事矣。” 上曰：“是计将安出？” 令尹对曰：“出下计。” ...
[117] 计深虑远  | ctx: ...，非编列之民，而与巴蜀异主哉？计深虑远，急国家之难，而乐尽人臣之道也...
[105] 讳疾忌医  | ctx: ...使之起耳。”  ### 齐桓侯讳疾忌医  [7] 扁鹊过齐，齐桓侯客...
[010] 论功行赏  | ctx: ...0.2] 皇帝曰：  ::: 论功行赏诏 “吕产自置为相国，吕禄为上...
[010] 诽谤之木  | ctx: ... “古之治天下，朝有进善之旌，诽谤之木，所以通治道而来谏者。今法有诽...
[030] 谄谀取容  | ctx: ...之後，有腹诽之法，而公卿大夫多谄谀取容矣。  ## 告缗令的推行  ...
[092] 败军之将  | ctx: ...有功？” 广武君辞谢曰：“臣闻败军之将，不可以言勇，亡国之大夫，不可...
[080] 轻卒锐兵  | ctx: ...。济上之军受命击齐，大败齐人。轻卒锐兵，长驱至国。齐王遁而走莒，仅以...
[112] 轻财重义  | ctx: ...维汉兴以来，股肱宰臣身行俭约，轻财重义，较然著明，未有若故丞相平津侯...
[067] 过犹不及  | ctx: ...。” “然则师愈与？” 曰：“过犹不及。”  [53] 子谓子夏曰：...
[079] 远交近攻  | ctx: ...厌天下辩士，无所信。  ## 远交近攻说昭王  [7] 穰侯，华阳君...
[069] 连衽成帷  | ctx: ...者。临菑之涂，车毂击，人肩摩，连衽成帷，举袂成幕，挥汗成雨，家殷人足...
[104] 重义轻生  | ctx: ...:: 赞 [18] 田叔长者，重义轻生。 张王既雪，汉中是荣。 孟舒...
[024] 金石丝竹  | ctx: ...者，性之端也；乐者，德之华也；金石丝竹，乐之器也。诗，言其志也；歌，...
[097] 长揖不拜  | ctx: ...子洗足，而见郦生。 郦生入，则长揖不拜，曰：“足下欲助秦攻诸侯乎？且...
[030] 陈陈相因  | ctx: ...累巨万，贯朽而不可校。太仓之粟陈陈相因，充溢露积於外，至腐败不可食。...
[078] 靡不有初，鲜克有终  | ctx: ...下之主，臣恐其有後患也。诗曰“靡不有初，鲜克有终”。易曰“狐涉水，濡其尾”。此...
[079] 飞龙在天  | ctx: ...道则仕，国无道则隐’。圣人曰‘飞龙在天，利见大人’。‘不义而富且贵，...
[023] 高城深池  | ctx: ....1] 故坚革利兵不足以为胜，高城深池不足以为固，严令繁刑不足以为威...

============================================================
=== 3 字新候选（0 条，多为名词）===
============================================================
