词	出现次数	实体类型
中绝	4	
详狂	4	
务耕	4	
身断	4	
断发	4	
侯顺	4	
昏乱	4	
虎贲	4	
奉明	4	
面就	4	
赎罪	4	刑法【】
祸成	4	
举烽	4	
嬖姬	4	
奉王	4	
案兵	4	
徵甲	4	
前功	4	
侯约	4	
军解	4	
军相	4	官职$
劳神	4	
交争	4	
女好	4	
臣弑	4	
布惠	4	
东平	4	
致胙	4	
田开	4	
王冠	4	
王游	4	
窥室	4	
士伍	4	
馀县	4	
锐兵	4	
丧事	4	
修先	4	
致霸	4	
北收	4	
致宾	4	
军罢	4	
书说	4	
恐他	4	
诸尝	4	
王东	4	
始约	4	
兵吏	4	
眇眇	4	
赖宗	4	
弟同	4	
文字	4	
平天	4	
和平	4	
休烈	4	
纲纪	4	
贪戾	4	
臣诵	4	
振动	4	
功劳	4	
堕坏	4	
相袭	4	
农工	4	
相连	4	
备员	4	
御府	4	官职$
率众	4	
中可	4	
官吏	4	
中事	4	
鞅鞅	4	
武力	4	
示群	4	
诸事	4	
报先	4	
等军	4	
责让	4	
比诸	4	
系颈	4	
食诸	4	
险塞	4	地名=
奋臂	4	
开关	4	地名=
耕织	4	
侯恐	4	
肥美	4	
销锋	4	
利兵	4	
量力	4	
势异	4	
糟糠	4	
发仓	4	
收恤	4	
易动	4	
南游	4	
避仇	4	
必举	4	
声动	4	
动天	4	
塞责	4	
夜引	4	
屯戍	4	
秋豪	4	
阻山	4	地名=
地肥	4	
常冠	4	
各就	4	
反书	4	
书遗	4	
军卻	4	
详惊	4	
疽发	4	
中食	4	
欲渡	4	地名=
丁壮	4	
苦军	4	
城东	4	
枝属	4	
经营	4	
觉寤	4	
徒中	4	
心独	4	
弟可	4	
涂地	4	
诸老	4	
距险	4	
连城	4	地名=
属吏	4	
烧绝	4	
园池	4	地名=
收士	4	
度兵	4	
病创	4	
欲引	4	
风俗	4	
譬犹	4	
王西	4	
後罢	4	
宫阙	4	
威加	4	
乐饮	4	
怏怏	4	
拨乱	4	
歌兒	4	
臣争	4	
交通	4	
属天	4	
他姬	4	
解印	4	
监军	4	
持戟	4	
王奉	4	
王列	4	
民爵	4	
首先	4	
同产	4	
後相	4	官职$
细民	4	
边吏	4	
官爵	4	
妾原	4	地名=
事觉	4	
结轶	4	
利民	4	
寒暑	4	
赖天	4	
布天	4	
偃兵	4	
雨雹	4	
免徒	4	
削诸	4	
敬鬼	4	
致物	4	
鬼道	4	
具祠	4	
坛旁	4	
肃祗	4	
神物	4	
亲郊	4	
连属	4	
龙变	4	
明应	4	
祠坛	4	
始郊	4	
间祠	4	
神怪	4	
星茀	4	
祠具	4	
天旱	4	
亲禅	4	
他名	4	
道中	4	
祯祥	4	
忌元	4	
齐女	4	
宋宣	4	
夷元	4	
妻好	4	
秦武	4	
同元	4	
楚盟	4	
内王	4	
军河	4	地名=
倍楚	4	
寿元	4	
民心	4	思想〔〕
楚侵	4	
吴季	4	
齐田	4	
侯孙	4	
王墓	4	
臣执	4	
收功	4	
功实	4	
周元	4	
齐宣	4	
韩相	4	官职$
城武	4	
商元	4	
魏冉	4	
王咎	4	
悼元	4	
郡兵	4	
帝太	4	
適足	4	
巨鹿	4	
汉元	4	
军霸	4	
王赵	4	
侯臣	4	
前尚	4	
臣侯	4	官职$
濞元	4	
祖兄	4	
襄元	4	
王勃	4	
勃元	4	
发元	4	
宪王	4	
王旦	4	
伉元	4	
侯灶	4	
欧元	4	
山元	4	
绝甬	4	
弟争	4	
侯寿	4	
侯寄	4	
峣关	4	地名=
侯市	4	
侯董	4	
军元	4	
王女	4	
执盾	4	
籍军	4	
比平	4	
侯昭	4	
执元	4	
丘侯	4	官职$
辟阳	4	
殇侯	4	官职$
塞外	4	
圣元	4	
侯指	4	
遗腹	4	
侯吴	4	
种元	4	
阳平	4	
龙元	4	
侯悼	4	
侯舜	4	
侯明	4	
布反	4	
侯鸱	4	
侯列	4	
诈诏	4	
侯阳	4	
影响	4	
汉相	4	官职$
郢客	4	
买田	4	
太中	4	
弟侯	4	官职$
侯仆	4	
师北	4	
平陵	4	地名=
孙敖	4	
国绝	4	
镪侯	4	官职$
右北	4	
事武	4	
骄蹇	4	
辅政	4	
平乐	4	
系狱	4	刑法【】
扶阳	4	
范明	4	
明友	4	
度辽	4	
相通	4	
恩侯	4	官职$
私恩	4	
好色	4	
嫉妒	4	
霍氏	4	族群~
陵王	4	
逐王	4	
渠率	4	
刘成	4	
顺元	4	
事天	4	
恣睢	4	
可欺	4	
声色	4	
民困	4	
包含	4	
状似	4	
快意	4	
动心	4	
气相	4	官职$
讨彊	4	
毒螫	4	
逆顺	4	
内属	4	
臣宗	4	
凶器	4	
结和	4	
物变	4	
物可	4	
著明	4	
必效	4	
率天	4	
易姓	4	
解纷	4	
协洽	4	
淹茂	4	
众星	4	
国吉	4	
同舍	4	
穷兵	4	
西国	4	
国利	4	
中道	4	
状类	4	
纷纷	4	
天开	4	
谣俗	4	
可考	4	
引弓	4	
常主	4	
凡天	4	
怠慢	4	
配天	4	
帝敬	4	
衍溢	4	
逐利	4	
仕宦	4	
闾阎	4	
兵连	4	
获首	4	
盗铸	4	
贳贷	4	
货物	4	
博戏	4	
相引	4	
乏绝	4	
初郡	4	
工商	4	
成霸	4	
必加	4	
民劳	4	
欲弑	4	
心疾	4	
逆旅	4	
欲妻	4	
兵随	4	
母兄	4	
伏谒	4	
辅翼	4	
民逆	4	
师事	4	
姓同	4	
船中	4	
弟弑	4	
傅相	4	官职$
和集	4	
同苦	4	
凡厥	4	
民苦	4	
国争	4	
可移	4	
徒袭	4	
边城	4	地名=
庸可	4	
国患	4	
卖己	4	
宗家	4	
伏士	4	
私门	4	
骄主	4	
始乱	4	
国後	4	
布腹	4	
独後	4	
擅兵	4	
疏骨	4	
欲报	4	
负王	4	
独吊	4	
尊名	4	
壤界	4	
面相	4	官职$
东面	4	
众辱	4	
王前	4	
昨暮	4	
卜事	4	
匿山	4	地名=
事先	4	
屏左	4	
奉公	4	
王饮	4	
谗臣	4	
独擅	4	
说士	4	
老妇	4	
敬诺	4	
城市	4	
市邑	4	
氏地	4	
比周	4	
原效	4	
欲利	4	
必相	4	官职$
欲地	4	
西说	4	
续氏	4	族群~
议论	4	
交臂	4	
东兵	4	
释帝	4	
西驰	4	
弦歌	4	
尝困	4	
指意	4	
北徇	4	
捕系	4	
欲连	4	
园邑	4	
良家	4	
县名	4	
舍中	4	
侍御	4	
伏地	4	
公田	4	
秩比	4	
诸刘	4	
求事	4	
推毂	4	
祝午	4	
军等	4	
金财	4	
田地	4	
械系	4	
贾竖	4	
吏舍	4	
歌呼	4	
良说	4	
天府	4	官职$
易太	4	
张负	4	
穷巷	4	
假贷	4	
必内	4	
驰传	4	
陵母	4	
应变	4	
威武	4	
驱驰	4	
王头	4	
簿责	4	
後传	4	
虏略	4	
盎等	4	
忽忽	4	
平襄	4	
祸乱	4	
驰逐	4	
号位	4	
臣贺	4	
承天	4	
臣闳	4	
奉承	4	
垂统	4	
维稽	4	
保国	4	
王策	4	
氏後	4	
岩穴	4	
幽囚	4	
转祸	4	
容貌	4	
逆鳞	4	
绳墨	4	
臣素	4	
素骄	4	
甘味	4	
可试	4	
名诸	4	
可说	4	
求报	4	
就功	4	
家必	4	
叔座	4	
名天	4	
成帝	4	
收地	4	
妻妾	4	
吞天	4	
挟彊	4	
臣效	4	
侧目	4	
苏氏	4	族群~
绝约	4	
臣父	4	
相结	4	
讬仪	4	
王疑	4	
罗甘	4	
相欺	4	
军後	4	
病笃	4	
荆兵	4	
通谷	4	地名=
海外	4	
宾主	4	
兵食	4	
券书	4	
冯轼	4	
轼结	4	
结靷	4	
相倾	4	
相士	4	
鄙军	4	
报谢	4	
博徒	4	
右壤	4	
辟地	4	
叹息	4	
倡优	4	
唐举	4	
南收	4	
卤获	4	
结交	4	
偿城	4	地名=
私雠	4	
右翼	4	
俶傥	4	
孽孙	4	
情实	4	
报私	4	
苦形	4	
国士	4	
箕踞	4	
易俗	4	
覆案	4	
唯明	4	
倍畔	4	
王实	4	
越列	4	
功冠	4	
腐儒	4	
争天	4	
遭初	4	
尝病	4	
交驩	4	
简易	4	
盎论	4	
同席	4	
首捕	4	
家监	4	官职$
脉结	4	
头痛	4	
主病	4	
後溲	4	
齐汤	4	
风气	4	
明脉	4	
脾气	4	
蹶阴	4	
伤脾	4	
经脉	4	
煮海	4	地名=
海水	4	地名=
谢天	4	
馀财	4	
异道	4	
北可	4	
缯絮	4	
穹庐	4	
盗边	4	
奉禄	4	
遗文	4	
役属	4	
比内	4	
略通	4	
西可	4	
反具	4	
仇家	4	
俗土	4	
决吉	4	
姓公	3	
营卫	3	
水滔	3	
滔天	3	
浩怀	3	
怀山	3	地名=
山襄	3	
雷雨	3	
择吉	3	
西巡	3	
北巡	3	
祖祢	3	
群后	3	
讴歌	3	
娶妻	3	
顺適	3	
让畔	3	
天事	3	
唯谨	3	
疆土	3	
伤先	3	
身焦	3	
中中	3	
赋中	3	
土壤	3	
州攸	3	
帝前	3	
始事	3	
事事	3	
翔舞	3	
属意	3	
素王	3	
宝玉	3	
书阙	3	
争相	3	官职$
渡南	3	
胥靡	3	
求美	3	
斧钺	3	器物*
乐器	3	
